image,description,price
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/30339/1.jpg?9405,Gizmo Pack Maxi 36 Couches Pour Bébé 9-18 kg,2 800 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/30339/1.jpg?6126,Gizmo Pack Maxi 12 Couches Pour Bébé 9-18 kg,1 200 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/30339/1.jpg?4532,Gizmo 5 Packs Maxi 36 Couches Pour Bébé 9-18 kg,14 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/05188/1.jpg?6287,Generic Ensemble de couches lavables - Paquet de 5 couches réutilisables pour bébés avec insert,18 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/75168/1.jpg?6893,Softcare Paquet de Couches - 36 Pièces - 1er Age,3 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/30339/1.jpg?6125,Gizmo Pack Midi 13 Couches Pour Bébé 5-10kg,1 200 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/05149/1.jpg?7974,Molfix Paquet de 64 Couches - Taille 4 (7-18 kg),9 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/20706/1.jpg?0598,"Generic Paquet de Couches  -36 piéces 1er age,32 piéces 2e age et 28 piéces 3ème Age",3 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/30339/1.jpg?5825,Gizmo Pack Maxi 36 Couches Pour Bébé 9-18 kg,3 920 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/75168/1.jpg?6893,Molfix Bébé MOLFIX JUMBO - Couches 3D Midi taille 3 (4-9 kg) 72 couches,8 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/05149/1.jpg?7974,Molfix JUMBO - Couches 3D Midi - Taille 3 (4-9 kg) - 72 Couches,9 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/30339/1.jpg?6125,Gizmo Pack Midi 38 Couches Pour Bébé 5-10kg,2 800 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/6955/1.jpg?1654,"Smiley Couches Bébé Taille 3 (5 - 10Kg), Pack Eco, 88 Couches",9 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/63603/1.jpg?3804,Softcare Paquet de Couches - 28 Pièces - 3ème Age,3 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/30339/1.jpg?6128,Gizmo Pack Mini 15 Couches Pour Nouveau Né (2 à 5kg ),1 200 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/26299/1.jpg?6688,Canbebe Couches pour bébé 4e âge - Paquet de 32 - Canbebe,4 125 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/30339/1.jpg?6172,Gizmo 5 Packs Midi 38 Couches Pour Bébé 5-10kg + Lingette Offerte,14 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/84163/1.jpg?1176,Softcare Paquet de Couches - 32 Pièces - 2ieme Age,4 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/51941/1.jpg?3377,Tijinou Pack 32 couches 6/11 kg,20 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/58705/1.jpg?1488,"Generic Couches Bébé Taille 3 (5 - 10Kg), Pack Eco, 88 Couches",9 400 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/65919/1.jpg?0731,Molfix Paquet de 40 Couches 3D - Taille 2 (3 - 6 kg),5 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/30529/1.jpg?3608,Generic Paquet de Couches - 36 Pièces - 1er Age,5 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/18099/1.jpg?3930,Evoluderm 25 Lingettes Démaquillantes Eau Micellaire - Peaux Sensibles,1 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/34089/1.jpg?1783,Molfix - Couches 3D Maxi taille 4 (7-18 kg) 32 couches,4 999 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/34089/1.jpg?1783,Generic MOLFIX JUMBO - Couches 3D Maxi taille 4 (7-18 kg) 64 couches,8 999 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/39529/1.jpg?7056,Generic MOLFIX - Couches 3D Maxi taille 4 (7-18 kg) 32 couches,5 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/75709/1.jpg?4387,Molfix Paquet de 40 Couches 3D - Taille 2 (3 - 6 kg),5 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/75709/1.jpg?4388,Molfix JUMBO - Couches 3D Midi - Taille 3 (4-9 kg) - 72 Couches,9 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/38489/1.jpg?7731,Generic Trotteur Youpala Pour Bébé -,18 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/1844/1.jpg?4549,Ultra Compact Lingettes Bébé - 120 Pièces,1 700 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/16016/1.jpg?3825,Generic Trotteur Youpala Pour Bébé - ( multicolores) CA820938,18 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/55622/1.jpg?1830,Lot De 28 Couches Taille 1,4 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/76289/1.jpg?3324,Generic Biberon Cuillère - Blanc,2 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/62788/1.jpg?9450,Generic Sac de bébé portable Lit bébé,9 999 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/93616/1.jpg?4567,Generic TAPIS PIANO D’EVEIL MUSICAL,14 500 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/18021/1.jpg?2536,Generic Bracelet De sécurité Anti Perte Enfant - Bleu - CA820606,1 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/08116/1.jpg?3202,Generic Tapis Piano Eveil Musical pour bébé  - CA820936,15 000 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/76289/1.jpg?3324,Generic Biberon Cuillère - Rose,2 900 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/857/1.jpg?1242,Tijinou 80 Lingettes Bébé -LT001,1 990 FCFA
https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/02706/1.jpg?6375,Smiley Pack De 100 Lingettes Pour Bébé,1 105 FCFA
